Year,Category,Provincial government ,Federal direct ,Municipal government ,Social security funds ,Public-sector total,Private-sector ,Total 
2015,A.2.4: Expenditure by year,91538.21108,4357.533748,503.52034339999994,1889.472471,98288.73763999999,48523.13495,146811.8726
2016,A.2.4: Expenditure by year,92916.59844,4627.586593,497.31924419999996,1951.357691,99992.86197,51051.69711,151044.5591
2017,A.2.4: Expenditure by year,95489.5513,4669.12675,500.25813339999996,2032.023539,102690.9597,52523.922269999995,155214.88199999998
2018,A.2.4: Expenditure by year,97366.2415,4704.363759000001,493.0520665,2017.413362,104581.0707,54610.80239,159191.8731
1975,A.2.5: Expenditure by year,1202.700917,54.9682475,9.956785593,16.8238332,1284.449783,430.26401969999995,1714.713803
1976,A.2.5: Expenditure by year,1222.1624259999999,53.19090408,12.9915964,17.22064299,1305.5655689999999,432.89204060000003,1738.4576100000002
1977,A.2.5: Expenditure by year,1221.031582,52.40471131,12.843084800000002,16.96994887,1303.249327,450.5059295,1753.755257
1978,A.2.5: Expenditure by year,1244.652069,49.43102498,11.59869669,17.74730902,1323.4291,468.49801799999995,1791.927118
1979,A.2.5: Expenditure by year,1254.779089,47.14018306,14.631291899999999,17.25065194,1333.801216,492.6546631,1826.4558789999999
1980,A.2.5: Expenditure by year,1296.079705,47.88596287,19.67650387,19.16436577,1382.806538,521.0942888000001,1903.900826
1981,A.2.5: Expenditure by year,1425.236524,53.16164199,21.48501031,24.53341791,1524.416594,535.3101166,2059.726711
1982,A.2.5: Expenditure by year,1486.552013,58.12160555,17.33447589,23.04049402,1585.048589,544.3265671,2129.375156
1983,A.2.5: Expenditure by year,1547.282869,62.87443242,14.29240154,22.45822273,1646.907926,539.2009897,2186.108915
1984,A.2.5: Expenditure by year,1575.828714,66.46168468,13.14901623,23.65921949,1679.098634,558.9624048999999,2238.061039
1985,A.2.5: Expenditure by year,1610.927459,66.23194016,15.82698367,26.40046598,1719.3868489999998,585.2714497999999,2304.6582989999997
1986,A.2.5: Expenditure by year,1662.687117,68.79365517,17.02429124,24.94689333,1773.451957,609.2782217,2382.730179
1987,A.2.5: Expenditure by year,1686.839847,69.50631700000001,20.98422592,24.65845704,1801.9888469999999,610.4991181,2412.487965
1988,A.2.5: Expenditure by year,1744.0088190000001,74.28412152,14.83265515,25.90582267,1859.031418,618.9837352000001,2478.0151530000003
1989,A.2.5: Expenditure by year,1779.3237179999999,76.37303191,14.76954047,25.61940678,1896.085697,640.3484503,2536.434147
1990,A.2.5: Expenditure by year,1788.738449,82.96742507,15.37500189,27.10279573,1914.183672,657.9819084,2572.16558
1991,A.2.5: Expenditure by year,1838.932652,84.00698545,14.92903014,28.62194523,1966.490613,670.6200342999999,2637.110648
1992,A.2.5: Expenditure by year,1837.3987140000002,83.77037525,15.09258976,26.70988496,1962.9715640000002,685.3362182999999,2648.307782
1993,A.2.5: Expenditure by year,1791.218909,84.45929040000001,14.17440978,25.28024283,1915.132852,713.0499954,2628.182848
1994,A.2.5: Expenditure by year,1751.9491670000002,90.45490283,16.07862015,24.60032521,1883.083015,730.9380867000001,2614.021102
1995,A.2.5: Expenditure by year,1716.5350219999998,93.38934355,13.87541734,25.13627713,1848.9360600000002,746.8702435,2595.8063039999997
1996,A.2.5: Expenditure by year,1694.110107,89.25803767,11.93668009,26.35685305,1821.6616780000002,750.3911427999999,2572.05282
1997,A.2.5: Expenditure by year,1710.287281,94.55773724,10.65515217,30.48042612,1845.980597,786.8650412000001,2632.845638
1998,A.2.5: Expenditure by year,1773.975423,98.73826836,24.8628548,32.74499985,1930.3215460000001,807.2109475999999,2737.532494
