,Year,Province Code,GDP ($mm),Pop (k),GDP/capita ($),CPI (healthcare),Private health spend/capita ($),Private health spend total ($mm),Public health spend/capita ($),Public health spend total ($mm),Private drug spend/capita ($),Private drug spend total ($mm),Public drug spend/capita ($),Public drug spend total ($mm),Private hospital spend/capita ($),Private hospital spend total ($mm),Public hospital spend/capita ($),Public hospital spend total ($mm),Non-working age pop (k),Working age pop (k),Pct working age (%)
85,2016,P.E.I.,6321.0,149.5,42280.9364548495,130.7343779,1681.122355,251.2807207,4729.1709740000015,706.8786438,640.1445281,95.6836829,252.8477425,37.79365776,81.92705738,12.24580112,2096.082246,313.3056055,,,
86,2017,P.E.I.,6665.578228,152.0,43852.488342105265,133.0186898,1761.659284,267.809206,4953.287008,753.0036443,654.5329423,99.50275242,262.6456738,39.92765798,82.88508764,12.60027391,2115.249283,321.5623113,,,
87,2018,P.E.I.,6985.636856,153.7,45449.81689004554,135.8666488,1809.996726,278.2410176,5014.232564,770.8108814,668.4196869,102.7525472,258.5714811,39.74879679,84.10543145,12.92907357,2126.858368,326.9504459,,,
88,1975,N.S.,,826.5,,26.80573194,98.13233529,81.11030041,364.6071509,301.3623945,26.37044219,21.79622529,9.251518378,7.64675,11.10775038,9.181,217.388323,179.6801445,,,
89,1976,N.S.,,835.2,,28.76345393,120.6908749,100.7976394,408.7613127,341.386003,27.52141873,22.98511832,11.91940103,9.95475,12.64170734,10.558,249.8658995,208.681003,,,
90,1977,N.S.,,839.7,,31.02236393,118.5867212,99.58059025,440.0621661,369.53252260000005,30.48639441,25.600279,13.7386749,11.53675,13.94737344,11.712,267.8831986,224.9490226,,,
91,1978,N.S.,,844.5,,34.56132292,129.6304906,109.4793012,477.1815634,403.0032122,37.99978598,32.09268125,16.00439998,13.5165,15.72081667,13.277,285.4028744,241.0367122,,,
92,1979,N.S.,,849.2,,36.63757464,150.52459219999997,127.8283436,524.1560501,445.1232767,47.875418,40.6567146,18.95198077,16.09438215,17.64209232,14.982,314.2799757,266.8925267,,,
93,1980,N.S.,,852.9,,40.98300413,173.27920669999997,147.7829042,597.3324353999999,509.4409409,53.99217944,46.04777016,22.55665849,19.23767176,20.45470534,17.445,349.5057112,298.0794409,,,
94,1981,N.S.,8072.0,854.6,9445.354551837117,46.71566376,195.1685965,166.8000603,727.838165,622.0439763999998,58.70304914,50.17032614,28.17994427,24.08387665,29.39579662,25.123,433.9799477,370.8992264,,,
95,1982,N.S.,9392.0,860.0,10920.93023255814,54.91042719,231.6259727,199.1902296,837.0891926,719.8674075,65.61080357,56.42299469,35.57982901,30.59740766,30.89660626,26.57,496.7131308,427.1559075,,,
96,1983,N.S.,10632.0,869.2,12231.93741371376,60.71658245,248.3659243,215.8684849,907.7719217,788.9945046,74.57523777,64.81744078,42.22204325,36.6975,33.81905414,29.394,548.3633582,476.6127546,,,
97,1984,N.S.,11897.0,877.2,13562.471500227999,64.96095544,283.2764941000001,248.4759768,999.6826875,876.8716693,92.18889264,80.86348718,47.40067263,41.5775,40.35113721,35.394,598.3905237,524.8782478,,,
98,1985,N.S.,12896.0,885.1,14570.105072873122,69.27882407,322.3630740000001,285.3216226,1070.180577,947.2104073,112.7447541,99.78970537,54.2075192,47.97875,44.05407787,38.992,635.5335518,562.5069335,,,
99,1986,N.S.,14052.0,889.3,15801.191948723716,72.98116674,397.7070046,353.6911796,1150.533135,1023.199031,144.8247083,128.7963786,62.63321607,55.70134752,50.78334273,45.16294705,678.0621165,603.0182698,,,
100,1987,N.S.,15064.0,893.5,16859.541130386122,77.34497014,442.1429585,395.0357212,1304.532825,1165.543984,165.5698987,147.929585,72.81567397,65.05767362,56.89808274,50.83599031,709.2470628,633.681753,,,
101,1988,N.S.,15902.0,897.4,17720.0802317807,81.36885622,468.3178061,420.2618428,1298.163576,1164.953818,171.2563575,153.6830576,84.6814529,75.9919503,60.21931399,54.03996931,748.532166,671.7222864,,,
102,1989,N.S.,17022.0,903.9,18831.72917358115,84.8690859,520.3152581999999,470.2879867,1417.8742519999994,1281.548478,177.2281743,160.1880398,95.83048644,86.61657683,75.63931263,68.366744,804.6769194,727.3088429,,,
103,1990,N.S.,17601.0,909.6,19350.263852242744,89.47175011,539.0803545,490.3674365,1513.306021,1376.559149,192.6624917,175.2529309,97.04682757,88.27738509,84.69075137,77.037841,862.3622301,784.4365919,,,
104,1991,N.S.,18255.0,915.1,19948.63949295159,94.61644465,566.9438701,518.8114694,1585.862565,1451.226005,204.1100724,186.7815354,97.37216731,89.10546505,82.7055331,75.68399875,920.1655332,842.0453198,,,
105,1992,N.S.,18764.0,919.6,20404.523705959113,96.49058337,603.0464352000001,554.5440135,1606.215273,1477.028985,229.8794933,211.3905155,103.7450313,95.40092222,79.788105,73.3708275,937.5921191,862.1825225,,,
106,1993,N.S.,18910.0,924.0,20465.367965367965,98.44740469,627.1911293,579.542792,1564.329986,1445.486273,250.8404641,231.7838632,103.8181345,95.93096698,68.59137917,63.3804235,859.3144037,794.0314292,,,
107,1994,N.S.,19257.0,927.0,20773.462783171522,100.009187,658.3122156000002,610.2284331000002,1524.47269,1413.12368,257.7040704,238.8811074,98.2687045,91.09106005,70.58903199,65.4331385,796.5452288,738.3647688,,,
108,1995,N.S.,19807.0,928.2,21339.1510450334,100.5052825,669.3500962999998,621.2860739,1551.407476,1440.005559,261.7437074,242.948677,100.6894775,93.45926823,83.85669871,77.83520075,790.7080778,733.9297028,,,
109,1996,N.S.,20034.0,931.4,21509.555507837664,101.019752,698.7137109,650.7910336,1544.12739,1438.220325,282.6086098,263.2253331,99.27790314,92.4687296,91.592277,85.3102375,797.5973873,742.8925753,366.0039999999999,565.409,60.70528237062487
110,1997,N.S.,20960.0,932.5,22477.211796246647,100.0,745.2416626,694.9236908,1790.1511,1669.281888,286.8275925,267.4612803,104.393044,97.34453008,111.3104154,103.7948475,969.5898012,904.1240674,364.635,567.8460000000001,60.89501340482575
111,1998,N.S.,21980.0,931.9,23586.221697607038,101.6628388,822.0451797000003,766.0696573,1917.3991260000007,1786.8376670000002,329.6699002,307.2216877,123.1078751,114.7250906,122.4607364,114.1220175,1000.26703,932.1558475,362.687,569.22,61.081661122438035
112,1999,N.S.,23776.0,933.8,25461.554936817305,103.0041341,833.3474197,778.2189877999997,2034.289607,1899.715247,330.3010664,308.45066,135.4877895,126.5248658,98.33402313,91.8289325,1035.036517,966.5657461,361.166,572.681,61.32801456414651
113,2000,N.S.,25481.0,933.9,27284.505835742584,104.4832338,929.6960957,868.2255196000001,2107.71959,1968.359278,356.3003454,332.7421229,147.1337689,137.4054312,100.34472,93.7100275,1019.479793,952.0728088,359.426,574.455,61.51140379055574
