Year ,Category,Hospitals ,Other Institutions ,Physicians ,Other Professionals: Dental Services ,Other Professionals: Vision Care Services ,Other Professionals: Other services,Total Other Professionals,Prescribed Drugs ,Over-the-Counter Drugs,Drugs: Personal Health Supplies,Total Drugs,Capital ,Public Health ,Administration ,Other health spending: Health Research ,Other health spending: Other Health Care Goods,Other health spending: Other Health Care Services,Total Other Health Spending,Grand Total 
1998,H.4: Expenditure by year,1193.579008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.5,,0.0,557.467395,0.0,0.0,557.467395,2178.5464030000003
1999,H.4: Expenditure by year,1312.134812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.1,,0.0,631.0394349999999,0.0,0.0,631.0394349999999,2825.274247
2000,H.4: Expenditure by year,1368.561385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.6,,0.0,706.4681575000001,0.0,0.0,706.4681575000001,2905.629542
2001,H.4: Expenditure by year,1530.275206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.8,,0.0,806.5436599999999,0.0,0.0,806.5436599999999,3425.618866
2002,H.4: Expenditure by year,1806.0461010000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.5,,0.0,871.2435475,0.0,0.0,871.2435475,3909.7896490000003
2003,H.4: Expenditure by year,1808.7825699999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.5,,0.0,994.87736,0.0,0.0,994.87736,4227.15993
2004,H.4: Expenditure by year,2026.501592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.2,,0.0,1078.928308,0.0,0.0,1078.928308,4204.6298990000005
2005,H.4: Expenditure by year,2367.3246480000003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.1,,0.0,1100.138385,0.0,0.0,1100.138385,4947.563032999999
2006,H.4: Expenditure by year,2513.665773,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0,,0.0,1174.8348720000001,0.0,0.0,1174.8348720000001,5743.500645
2007,H.4: Expenditure by year,2608.863832,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.9,,0.0,1202.575585,0.0,0.0,1202.575585,5362.339417
